1,Abecean Longfin,Bear Claws,Hawk Feathers,Fortify One-Handed,Fortify Sneak,,,,236
2,Abecean Longfin,Bear Claws,Pine Thrush Egg,Restore Stamina,Weakness to Poison,,,,76
3,Abecean Longfin,Bear Claws,Powdered Mammoth Tusk,Restore Stamina,Fortify Sneak,,,,143
4,Abecean Longfin,Bear Claws,Purple Mountain Flower,Restore Stamina,Fortify Sneak,,,,143
5,Abecean Longfin,Bear Claws,Sabre Cat Tooth,Restore Stamina,Weakness to Poison,,,,76
6,Abecean Longfin,Bear Claws,Small Pearl,Restore Stamina,Fortify One-Handed,Fortify Restoration,,,261
7,Abecean Longfin,Bee,Deathbell,Ravage Stamina,Weakness to Poison,,,,75
8,Abecean Longfin,Bee,Giant Lichen,Weakness to Shock,Weakness to Poison,,,,107
9,Abecean Longfin,Bee,Pine Thrush Egg,Restore Stamina,Weakness to Poison,,,,76
10,Abecean Longfin,Bee,Powdered Mammoth Tusk,Restore Stamina,Fortify Sneak,,,,143
11,Abecean Longfin,Bee,Purple Mountain Flower,Restore Stamina,Fortify Sneak,,,,143
12,Abecean Longfin,Bee,Sabre Cat Tooth,Restore Stamina,Weakness to Poison,,,,76
13,Abecean Longfin,Bee,Small Pearl,Restore Stamina,Fortify Restoration,,,,143
14,Abecean Longfin,Beehive Husk,Bleeding Crown,Fortify Sneak,Weakness to Poison,,,,169
15,Abecean Longfin,Beehive Husk,Charred Skeever Hide,Fortify Sneak,Resist Poison,,,,236
16,Abecean Longfin,Beehive Husk,Chaurus Eggs,Fortify Sneak,Weakness to Poison,,,,169
17,Abecean Longfin,Beehive Husk,Cyrodilic Spadetail,Fortify Sneak,Fortify Restoration,,,,236
18,Abecean Longfin,Beehive Husk,Deathbell,Fortify Sneak,Weakness to Poison,,,,169
19,Abecean Longfin,Beehive Husk,Ectoplasm,Fortify Sneak,Fortify Destruction,,,,269
20,Abecean Longfin,Beehive Husk,Elves Ear,Fortify Sneak,Weakness to Frost,,,,158
21,Abecean Longfin,Beehive Husk,Falmer Ear,Fortify Sneak,Resist Poison,,,,236
22,Abecean Longfin,Beehive Husk,Fire Salts,Fortify Sneak,Weakness to Frost,,,,158
23,Abecean Longfin,Beehive Husk,Frost Mirriam,Fortify Sneak,,,,,118
24,Abecean Longfin,Beehive Husk,Garlic,Fortify Sneak,Resist Poison,,,,236
25,Abecean Longfin,Beehive Husk,Giant Lichen,Fortify Sneak,Weakness to Poison,,,,169
26,Abecean Longfin,Beehive Husk,Glow Dust,Fortify Sneak,Fortify Destruction,,,,269
27,Abecean Longfin,Beehive Husk,Glowing Mushroom,Fortify Sneak,Fortify Destruction,,,,269
28,Abecean Longfin,Beehive Husk,Grass Pod,Fortify Sneak,Resist Poison,,,,236
29,Abecean Longfin,Beehive Husk,Hawk Feathers,Fortify Sneak,Fortify Light Armor,,,,173
30,Abecean Longfin,Beehive Husk,Honeycomb,Fortify Sneak,Fortify Light Armor,,,,173
31,Abecean Longfin,Beehive Husk,Human Flesh,Fortify Sneak,,,,,118
32,Abecean Longfin,Beehive Husk,Ice Wraith Teeth,Fortify Sneak,Weakness to Frost,,,,158
33,Abecean Longfin,Beehive Husk,Luna Moth Wing,Fortify Sneak,Fortify Light Armor,,,,173
34,Abecean Longfin,Beehive Husk,Mudcrab Chitin,Fortify Sneak,Resist Poison,,,,236
35,Abecean Longfin,Beehive Husk,Nightshade,Fortify Sneak,Fortify Destruction,,,,269
36,Abecean Longfin,Beehive Husk,Pine Thrush Egg,Fortify Sneak,Weakness to Poison,,,,169
37,Abecean Longfin,Beehive Husk,Powdered Mammoth Tusk,Fortify Sneak,,,,,118
38,Abecean Longfin,Beehive Husk,Purple Mountain Flower,Fortify Sneak,,,,,118
39,Abecean Longfin,Beehive Husk,Sabre Cat Tooth,Fortify Sneak,Weakness to Poison,,,,169
40,Abecean Longfin,Beehive Husk,Salt Pile,Fortify Sneak,Fortify Restoration,,,,236
41,Abecean Longfin,Beehive Husk,Skeever Tail,Fortify Sneak,Fortify Light Armor,,,,173
42,Abecean Longfin,Beehive Husk,Slaugherfish Egg,Fortify Sneak,Resist Poison,,,,236
43,Abecean Longfin,Beehive Husk,Small Antlers,Fortify Sneak,Weakness to Poison,Fortify Restoration,,,287
44,Abecean Longfin,Beehive Husk,Small Pearl,Fortify Sneak,Fortify Restoration,,,,236
45,Abecean Longfin,Beehive Husk,Thistle Branch,Fortify Sneak,Resist Poison,,,,236
46,Abecean Longfin,Beehive Husk,Troll Fat,Fortify Sneak,Resist Poison,,,,236
47,Abecean Longfin,Beehive Husk,White Cap,Fortify Sneak,Weakness to Frost,,,,158
48,Abecean Longfin,Beehive Husk,Wisp Wrappings,Fortify Sneak,Fortify Destruction,,,,269
49,Abecean Longfin,Bleeding Crown,Briar Heart,Weakness to Poison,Fortify Block,,,,169
50,Abecean Longfin,Bleeding Crown,Chaurus Eggs,Weakness to Poison,,,,,51
51,Abecean Longfin,Bleeding Crown,Chicken's Egg,Weakness to Poison,Resist Magic,,,,102
52,Abecean Longfin,Bleeding Crown,Crimson Nimroot,Weakness to Poison,Resist Magic,,,,102
53,Abecean Longfin,Bleeding Crown,Cyrodilic Spadetail,Weakness to Poison,Fortify Restoration,,,,169
54,Abecean Longfin,Bleeding Crown,Deathbell,Weakness to Poison,,,,,51
55,Abecean Longfin,Bleeding Crown,Elves Ear,Weakness to Poison,Weakness to Frost,,,,91
56,Abecean Longfin,Bleeding Crown,Fire Salts,Weakness to Poison,Weakness to Frost,,,,91
57,Abecean Longfin,Bleeding Crown,Frost Mirriam,Weakness to Poison,Fortify Sneak,,,,169
58,Abecean Longfin,Bleeding Crown,Frost Salts,Weakness to Poison,Weakness to Fire,,,,99
59,Abecean Longfin,Bleeding Crown,Giant Lichen,Weakness to Poison,,,,,51
60,Abecean Longfin,Bleeding Crown,Hagraven Claw,Weakness to Poison,Resist Magic,,,,102
61,Abecean Longfin,Bleeding Crown,Hawk Feathers,Weakness to Poison,Fortify Sneak,,,,169
62,Abecean Longfin,Bleeding Crown,Honeycomb,Weakness to Poison,Fortify Block,,,,169
63,Abecean Longfin,Bleeding Crown,Human Flesh,Weakness to Poison,Fortify Sneak,,,,169
64,Abecean Longfin,Bleeding Crown,Ice Wraith Teeth,Weakness to Poison,Weakness to Fire,Weakness to Frost,,,139
65,Abecean Longfin,Bleeding Crown,Juniper Berries,Weakness to Poison,Weakness to Fire,,,,99
66,Abecean Longfin,Bleeding Crown,Lavender,Weakness to Poison,Resist Magic,,,,102
67,Abecean Longfin,Bleeding Crown,Moon Sugar,Weakness to Poison,Weakness to Fire,,,,99
68,Abecean Longfin,Bleeding Crown,Nirnroot,Weakness to Poison,Resist Magic,,,,102
